satellite,date,lon,lat,id,evi2,QA_PIXEL
LANDSAT/LT05/C02/T1_L2,1984-09-23,43.949128,-71.731831,4,-0.3667319089608017,5440
LANDSAT/LT05/C02/T1_L2,1984-09-23,43.9574,-71.736869,5,-0.1799159818190166,5440
LANDSAT/LT05/C02/T1_L2,1984-09-23,43.955547,-71.742178,6,-0.3898650501954157,5440
LANDSAT/LT05/C02/T1_L2,1984-09-23,43.928928,-71.765647,7,-0.3487931169748163,5440
LANDSAT/LT05/C02/T1_L2,1984-09-23,43.918358,-71.769733,8,-0.3041892191124241,5440
LANDSAT/LT05/C02/T1_L2,1984-10-09,43.945733,-71.700975,0,,
LANDSAT/LT05/C02/T1_L2,1984-10-09,43.952022,-71.725558,1,,
LANDSAT/LT05/C02/T1_L2,1984-10-09,43.950917,-71.728739,2,,
LANDSAT/LT05/C02/T1_L2,1984-10-09,43.958947,-71.731661,3,,
LANDSAT/LT05/C02/T1_L2,1984-10-09,43.949128,-71.731831,4,,
LANDSAT/LT05/C02/T1_L2,1984-10-09,43.9574,-71.736869,5,,
LANDSAT/LT05/C02/T1_L2,1984-10-09,43.955547,-71.742178,6,,
LANDSAT/LT05/C02/T1_L2,1984-10-09,43.928928,-71.765647,7,,
LANDSAT/LT05/C02/T1_L2,1984-10-09,43.918358,-71.769733,8,,
LANDSAT/LT05/C02/T1_L2,1984-10-25,43.945733,-71.700975,0,-0.09901102810936885,5440
LANDSAT/LT05/C02/T1_L2,1984-10-25,43.952022,-71.725558,1,,
LANDSAT/LT05/C02/T1_L2,1984-10-25,43.950917,-71.728739,2,,
LANDSAT/LT05/C02/T1_L2,1984-10-25,43.958947,-71.731661,3,,
LANDSAT/LT05/C02/T1_L2,1984-10-25,43.949128,-71.731831,4,,
LANDSAT/LT05/C02/T1_L2,1984-10-25,43.9574,-71.736869,5,-0.0684073958362104,5696
LANDSAT/LT05/C02/T1_L2,1984-10-25,43.955547,-71.742178,6,-0.11786692383086411,5698
LANDSAT/LT05/C02/T1_L2,1984-10-25,43.928928,-71.765647,7,,
LANDSAT/LT05/C02/T1_L2,1984-10-25,43.918358,-71.769733,8,,
LANDSAT/LT05/C02/T1_L2,1984-11-26,43.945733,-71.700975,0,-0.18274891025379883,5440
LANDSAT/LT05/C02/T1_L2,1984-11-26,43.952022,-71.725558,1,,
LANDSAT/LT05/C02/T1_L2,1984-11-26,43.950917,-71.728739,2,,
LANDSAT/LT05/C02/T1_L2,1984-11-26,43.958947,-71.731661,3,,
LANDSAT/LT05/C02/T1_L2,1984-11-26,43.949128,-71.731831,4,,
LANDSAT/LT05/C02/T1_L2,1984-11-26,43.9574,-71.736869,5,,
LANDSAT/LT05/C02/T1_L2,1984-11-26,43.955547,-71.742178,6,,
LANDSAT/LT05/C02/T1_L2,1984-11-26,43.928928,-71.765647,7,,
LANDSAT/LT05/C02/T1_L2,1984-11-26,43.918358,-71.769733,8,,
LANDSAT/LT05/C02/T1_L2,1985-01-13,43.945733,-71.700975,0,,
LANDSAT/LT05/C02/T1_L2,1985-01-13,43.952022,-71.725558,1,,
LANDSAT/LT05/C02/T1_L2,1985-01-13,43.950917,-71.728739,2,,
LANDSAT/LT05/C02/T1_L2,1985-01-13,43.958947,-71.731661,3,,
LANDSAT/LT05/C02/T1_L2,1985-01-13,43.949128,-71.731831,4,,
LANDSAT/LT05/C02/T1_L2,1985-01-13,43.9574,-71.736869,5,,
LANDSAT/LT05/C02/T1_L2,1985-01-13,43.955547,-71.742178,6,,
LANDSAT/LT05/C02/T1_L2,1985-01-13,43.928928,-71.765647,7,,
LANDSAT/LT05/C02/T1_L2,1985-01-13,43.918358,-71.769733,8,,
LANDSAT/LT05/C02/T1_L2,1985-01-29,43.945733,-71.700975,0,,
LANDSAT/LT05/C02/T1_L2,1985-01-29,43.952022,-71.725558,1,,
LANDSAT/LT05/C02/T1_L2,1985-01-29,43.950917,-71.728739,2,-0.10887855926023521,13858
LANDSAT/LT05/C02/T1_L2,1985-01-29,43.958947,-71.731661,3,,
LANDSAT/LT05/C02/T1_L2,1985-01-29,43.949128,-71.731831,4,,
LANDSAT/LT05/C02/T1_L2,1985-01-29,43.9574,-71.736869,5,,
LANDSAT/LT05/C02/T1_L2,1985-01-29,43.955547,-71.742178,6,,
LANDSAT/LT05/C02/T1_L2,1985-01-29,43.928928,-71.765647,7,,
LANDSAT/LT05/C02/T1_L2,1985-01-29,43.918358,-71.769733,8,,
LANDSAT/LT05/C02/T1_L2,1985-03-02,43.945733,-71.700975,0,,
LANDSAT/LT05/C02/T1_L2,1985-03-02,43.952022,-71.725558,1,,
LANDSAT/LT05/C02/T1_L2,1985-03-02,43.950917,-71.728739,2,,
LANDSAT/LT05/C02/T1_L2,1985-03-02,43.958947,-71.731661,3,,
LANDSAT/LT05/C02/T1_L2,1985-03-02,43.949128,-71.731831,4,,
LANDSAT/LT05/C02/T1_L2,1985-03-02,43.9574,-71.736869,5,,
LANDSAT/LT05/C02/T1_L2,1985-03-02,43.955547,-71.742178,6,,
LANDSAT/LT05/C02/T1_L2,1985-03-02,43.928928,-71.765647,7,,
LANDSAT/LT05/C02/T1_L2,1985-03-02,43.918358,-71.769733,8,,
LANDSAT/LT05/C02/T1_L2,1985-04-19,43.945733,-71.700975,0,,
LANDSAT/LT05/C02/T1_L2,1985-04-19,43.952022,-71.725558,1,,
LANDSAT/LT05/C02/T1_L2,1985-04-19,43.950917,-71.728739,2,,
LANDSAT/LT05/C02/T1_L2,1985-04-19,43.958947,-71.731661,3,,
LANDSAT/LT05/C02/T1_L2,1985-04-19,43.949128,-71.731831,4,,
LANDSAT/LT05/C02/T1_L2,1985-04-19,43.9574,-71.736869,5,,
LANDSAT/LT05/C02/T1_L2,1985-04-19,43.955547,-71.742178,6,,
LANDSAT/LT05/C02/T1_L2,1985-04-19,43.928928,-71.765647,7,,
LANDSAT/LT05/C02/T1_L2,1985-04-19,43.918358,-71.769733,8,,
LANDSAT/LT05/C02/T1_L2,1985-05-05,43.945733,-71.700975,0,,
LANDSAT/LT05/C02/T1_L2,1985-05-05,43.952022,-71.725558,1,,
LANDSAT/LT05/C02/T1_L2,1985-05-05,43.950917,-71.728739,2,,
LANDSAT/LT05/C02/T1_L2,1985-05-05,43.958947,-71.731661,3,,
LANDSAT/LT05/C02/T1_L2,1985-05-05,43.949128,-71.731831,4,,
LANDSAT/LT05/C02/T1_L2,1985-05-05,43.9574,-71.736869,5,,
LANDSAT/LT05/C02/T1_L2,1985-05-05,43.955547,-71.742178,6,,
LANDSAT/LT05/C02/T1_L2,1985-05-05,43.928928,-71.765647,7,,
LANDSAT/LT05/C02/T1_L2,1985-05-05,43.918358,-71.769733,8,,
LANDSAT/LT05/C02/T1_L2,1985-06-22,43.945733,-71.700975,0,-0.5087534359624789,5440
LANDSAT/LT05/C02/T1_L2,1985-06-22,43.952022,-71.725558,1,-0.5463220890357249,5440
LANDSAT/LT05/C02/T1_L2,1985-06-22,43.950917,-71.728739,2,-0.5823610623786101,5440
LANDSAT/LT05/C02/T1_L2,1985-06-22,43.958947,-71.731661,3,-0.4717792732058552,5440
LANDSAT/LT05/C02/T1_L2,1985-06-22,43.949128,-71.731831,4,-0.48044458288674846,5440
LANDSAT/LT05/C02/T1_L2,1985-06-22,43.9574,-71.736869,5,-0.2212558684459767,5440
